wall_thickness,draft_angle,corner_radius,aspect_ratio,undercut_present,wall_uniformity,material,risk_score,failure
2.788,2.137,0.63,3.383,1,0.854,PP,30.36,0
0.502,2.574,0.268,3.163,0,0.716,PC,54.48,1
3.226,1.632,0.68,5.713,0,0.573,TPU,13.12,0
3.342,1.402,0.176,4.014,0,0.836,PP,46.78,1
0.91,1.38,1.355,8.317,0,0.482,ABS,46.36,1
2.287,1.056,0.592,2.045,0,0.802,Nylon,0.41,0
3.919,1.622,0.904,13.311,0,0.734,PC,42.02,0
6.0,1.345,1.741,2.745,0,0.803,TPU,6.27,0
4.196,1.317,1.358,11.373,1,0.807,Nylon,68.42,1
1.791,1.218,1.117,2.305,0,0.966,Nylon,3.64,0
0.544,0.909,1.133,4.113,1,0.79,PP,95.18,1
1.601,1.568,0.938,4.645,1,0.694,ABS,39.23,0
2.385,1.508,0.897,2.456,0,0.864,ABS,2.94,0
3.478,2.421,1.493,9.787,0,0.638,PC,15.31,0
0.843,1.85,1.254,6.723,1,0.697,PP,76.77,1
0.598,2.038,0.867,2.514,1,0.489,ABS,78.51,1
1.215,1.541,0.4,1.595,0,0.653,PP,64.18,1
3.16,0.953,0.89,4.205,1,0.776,TPU,31.13,0
3.761,1.412,0.453,1.709,1,0.721,TPU,37.99,0
0.807,0.002,0.996,3.127,1,0.571,Nylon,100.0,1
4.427,0.329,1.513,5.065,0,0.848,PC,37.26,0
3.308,1.055,1.408,1.485,0,0.789,TPU,2.41,0
3.135,2.391,0.541,8.49,0,0.894,PP,2.61,0
0.703,0.326,0.29,10.097,1,0.781,ABS,100.0,1
3.371,0.462,0.618,6.544,1,0.497,TPU,66.28,1
4.44,1.482,0.885,7.989,0,0.721,ABS,15.32,0
0.815,0.879,0.818,10.069,1,0.675,Nylon,100.0,1
1.09,2.015,1.189,3.109,0,0.731,ABS,37.0,0
4.057,2.086,0.268,12.456,0,0.471,ABS,66.56,1
1.206,1.436,1.255,6.008,0,0.577,PP,70.93,1
4.7,1.416,0.855,2.008,1,0.202,PP,59.62,1
0.653,1.654,0.895,5.018,0,0.594,TPU,45.71,1
4.611,0.996,0.666,8.201,1,0.773,ABS,73.51,1
0.629,1.136,0.94,7.128,0,0.388,ABS,54.01,1
3.876,2.023,1.334,4.745,0,0.844,PC,26.14,0
1.151,1.542,0.364,6.08,0,0.687,PP,62.52,1
2.899,1.137,1.044,4.759,0,0.563,Nylon,12.52,0
2.361,1.75,1.416,2.571,0,0.433,PC,20.88,0
1.469,1.527,0.777,7.451,0,0.685,PP,45.59,1
1.955,1.481,0.976,7.574,1,0.821,PP,58.89,1
2.509,0.499,1.099,1.586,1,0.841,ABS,54.32,1
3.473,1.014,1.276,3.949,1,0.64,PP,66.8,1
1.057,1.283,0.838,5.365,1,0.926,PC,31.88,0
0.92,2.097,1.313,4.053,0,0.815,PP,37.38,0
2.658,1.492,1.854,14.996,0,0.694,ABS,29.9,0
0.609,0.72,1.065,4.746,0,0.607,Nylon,56.23,1
0.785,1.037,0.353,4.336,0,0.792,Nylon,58.72,1
0.572,0.15,0.799,2.108,0,0.683,Nylon,76.29,1
3.658,1.59,0.839,3.301,0,0.871,Nylon,22.06,0
0.831,0.184,0.846,9.117,1,0.739,Nylon,94.54,1
2.416,0.173,0.344,2.357,0,0.791,Nylon,37.07,0
0.622,0.861,1.546,8.939,1,0.852,PP,92.21,1
0.501,1.674,0.787,4.067,0,0.715,TPU,39.69,0
2.229,1.769,0.975,3.066,0,0.828,Nylon,5.41,0
1.144,0.034,1.296,3.498,0,0.546,Nylon,72.91,1
2.515,1.236,0.761,8.826,1,0.679,ABS,33.61,0
0.692,2.191,1.389,4.395,1,0.688,PP,87.99,1
1.22,1.771,0.428,5.039,1,0.868,ABS,88.18,1
1.197,0.795,1.043,6.979,0,0.617,PP,74.97,1
3.771,1.037,0.947,10.447,0,0.728,Nylon,49.83,1
4.193,0.596,0.814,4.797,1,0.439,Nylon,65.14,1
1.177,1.968,1.373,5.655,0,0.71,TPU,0.4,0
1.159,0.666,0.297,5.592,1,0.834,PP,100.0,1
1.952,0.151,1.022,2.041,0,0.844,Nylon,27.04,0
1.608,0.533,1.662,1.99,1,0.6,ABS,58.28,1
0.61,2.108,1.165,3.367,0,0.517,PC,53.92,1
1.463,1.451,0.767,3.85,0,0.949,PP,66.12,1
0.822,2.146,0.977,5.819,1,0.802,ABS,65.84,1
4.864,0.432,0.65,7.025,0,0.826,ABS,52.58,1
1.448,2.253,0.527,2.798,0,0.675,ABS,48.51,1
2.753,2.341,0.455,3.456,0,0.722,PP,14.08,0
2.906,0.761,0.273,13.711,0,0.901,ABS,63.99,1
0.69,2.847,0.55,3.79,1,0.8,PP,70.33,1
0.769,1.791,0.541,6.606,0,0.826,ABS,35.41,0
1.251,1.43,0.242,5.124,1,0.699,ABS,79.0,1
1.143,2.137,0.926,5.664,1,0.521,PP,82.9,1
0.5,0.651,1.369,10.186,0,0.766,PC,84.5,1
3.735,1.744,0.369,1.954,1,0.788,PC,65.68,1
2.023,0.492,0.989,14.833,1,0.667,Nylon,85.46,1
1.59,1.032,1.329,1.541,1,0.638,ABS,30.04,0
0.948,0.807,0.815,4.515,0,0.769,PP,64.0,1
2.199,1.162,0.595,1.711,1,0.583,PC,46.64,1
3.253,1.475,1.394,2.512,0,0.89,PP,30.65,0
3.133,2.272,0.975,1.778,0,0.502,PP,16.68,0
1.912,1.965,0.436,4.624,1,0.476,ABS,58.8,1
3.133,1.005,1.211,8.347,0,0.373,PP,32.73,0
4.81,2.289,1.175,2.914,1,0.977,ABS,55.17,1
2.239,0.181,0.892,4.137,1,0.617,Nylon,63.78,1
0.524,0.498,0.741,2.699,0,0.454,PC,73.55,1
4.442,1.633,1.594,3.559,1,0.755,ABS,49.26,1
1.456,0.915,0.744,3.65,1,0.762,ABS,93.38,1
3.069,1.461,0.518,6.312,0,0.705,PP,29.64,0
3.443,0.165,0.604,7.67,0,0.917,TPU,18.4,0
1.252,1.592,1.048,3.561,1,0.678,ABS,81.31,1
3.257,2.728,1.101,10.922,0,0.547,PP,30.87,0
2.457,1.741,0.718,3.821,0,0.889,ABS,7.74,0
0.5,0.275,0.461,2.644,0,0.618,PC,93.03,1
1.195,0.323,0.847,1.752,1,0.485,Nylon,100.0,1
3.565,1.165,1.187,3.339,0,0.38,PC,27.09,0
3.502,1.487,0.494,15.0,0,0.491,TPU,55.23,1
1.328,0.473,1.184,4.592,0,0.719,ABS,65.89,1
0.736,0.966,0.499,3.128,0,0.872,Nylon,58.41,1
1.396,0.918,0.561,5.531,0,0.504,PP,82.21,1
2.953,1.019,1.408,4.28,1,0.729,ABS,29.95,0
5.546,2.521,0.964,4.519,1,0.53,PP,61.06,1
0.579,0.601,1.114,1.023,0,0.498,PC,70.56,1
4.494,0.672,1.002,4.791,1,0.786,ABS,77.2,1
2.704,1.142,0.924,5.352,1,0.812,PC,23.09,0
1.067,1.786,0.524,4.646,0,0.765,ABS,41.14,0
2.436,1.099,0.461,5.133,0,0.652,PC,20.83,0
0.509,1.465,0.761,10.057,0,0.794,PC,62.71,1
2.856,1.206,0.501,2.5,1,0.65,ABS,53.38,1
5.085,2.067,1.196,3.111,0,0.721,PP,19.39,0
1.229,2.063,0.534,3.369,0,0.582,ABS,51.13,1
0.572,1.036,0.48,5.646,0,0.568,PC,63.05,1
4.953,0.893,1.105,3.22,1,0.602,PP,65.19,1
5.625,2.61,0.276,1.268,1,0.719,PP,60.56,1
4.259,0.698,1.627,4.651,1,0.818,ABS,67.12,1
0.513,1.599,0.581,5.017,1,0.667,PC,86.03,1
2.575,1.716,1.088,4.705,1,0.29,PC,37.73,0
2.522,0.349,1.294,11.87,0,0.692,Nylon,58.28,1
3.563,1.359,0.259,2.765,0,0.789,PP,46.64,1
2.663,2.807,1.433,4.62,1,0.822,PP,35.72,0
1.572,1.639,0.694,1.595,1,0.654,PP,38.25,0
1.964,0.049,0.281,4.938,0,0.543,Nylon,50.11,1
2.628,1.864,1.462,4.837,1,0.82,ABS,32.84,0
1.403,0.956,0.296,1.356,0,0.686,ABS,92.16,1
0.987,1.341,0.99,2.729,1,0.698,ABS,76.31,1
1.526,0.939,1.649,5.69,1,0.252,PP,58.02,1
2.932,1.58,0.489,2.481,1,0.862,PP,39.45,0
3.948,1.059,1.125,1.099,0,0.639,ABS,13.42,0
3.406,1.37,0.444,2.011,1,0.924,PC,50.3,1
1.047,1.219,0.935,5.718,1,0.938,ABS,75.0,1
2.878,0.833,1.339,2.688,1,0.505,ABS,65.74,1
0.519,1.137,1.402,6.625,0,0.465,TPU,55.43,1
0.701,0.0,0.453,6.344,0,0.546,TPU,89.23,1
4.642,1.966,0.793,2.794,1,0.539,ABS,56.78,1
0.608,0.486,0.93,3.802,1,0.772,PC,92.7,1
1.796,0.871,0.969,5.161,1,0.632,Nylon,33.82,0
3.865,0.736,0.824,4.499,0,0.678,PC,59.15,1
4.987,1.957,0.41,4.01,0,0.824,PP,13.32,0
3.588,0.534,1.354,3.011,0,0.526,PC,54.73,1
4.111,0.612,1.086,4.907,0,0.735,Nylon,18.41,0
4.628,1.11,1.417,6.081,1,0.484,PC,57.39,1
0.806,2.271,0.163,1.649,1,0.643,PP,92.4,1
3.221,1.87,1.376,2.542,0,0.664,PP,11.65,0
1.494,2.498,1.44,3.327,0,0.645,PP,46.4,1
2.342,1.728,1.337,9.327,1,0.647,PC,38.62,0
0.946,2.038,0.28,9.354,0,0.616,Nylon,69.04,1
2.142,0.083,1.017,2.923,1,0.834,Nylon,51.66,1
3.738,1.51,0.688,1.983,1,0.97,Nylon,45.04,1
1.47,0.0,0.71,14.984,0,0.736,Nylon,47.95,1
5.515,1.534,1.364,5.309,0,0.908,TPU,0.0,0
1.11,1.388,1.368,4.964,0,0.457,PP,79.82,1
0.961,0.532,0.941,2.705,1,0.826,PC,95.97,1
3.555,0.575,0.482,4.633,1,0.806,TPU,40.64,0
5.625,1.311,0.889,4.623,0,0.688,PP,53.74,1
3.411,0.471,0.889,3.31,0,0.76,Nylon,30.54,0
3.302,1.484,0.336,6.347,1,0.872,TPU,36.15,0
0.89,2.704,0.885,1.714,1,0.828,PP,69.11,1
1.331,2.173,1.382,2.69,1,0.671,PP,71.79,1
3.266,0.061,1.665,5.655,1,0.846,TPU,50.73,1
2.354,1.115,0.411,4.255,1,0.473,Nylon,51.59,1
1.54,2.399,0.757,3.615,0,0.957,ABS,0.0,0
5.94,1.741,0.64,2.979,0,0.491,TPU,7.19,0
3.343,0.73,0.724,12.237,1,0.406,Nylon,62.59,1
2.466,0.38,0.661,10.987,0,0.627,PC,53.32,1
2.375,1.775,0.264,5.343,0,0.82,PC,11.37,0
4.572,1.772,1.166,9.625,0,0.384,ABS,30.63,0
3.405,0.478,1.242,15.0,1,0.9,TPU,68.15,1
1.317,0.441,0.72,4.027,1,0.885,PC,60.46,1
4.156,0.263,0.962,8.527,0,0.355,Nylon,59.14,1
2.881,0.232,1.36,1.974,0,0.555,ABS,31.59,0
5.169,1.421,0.942,2.67,1,0.767,PP,77.87,1
3.825,1.1,1.233,7.226,1,0.885,PC,48.59,1
1.747,0.562,1.418,3.192,1,0.58,PC,62.43,1
0.992,2.333,0.304,14.996,0,0.641,PC,48.54,1
1.522,2.352,1.131,1.498,0,0.717,PP,0.0,0
4.193,2.099,1.52,11.925,0,0.683,Nylon,55.64,1
2.436,0.904,1.294,6.406,0,0.566,ABS,35.86,0
4.812,1.237,0.973,3.478,1,0.668,ABS,57.57,1
0.928,2.488,1.477,4.856,0,0.676,PP,53.45,1
2.985,2.365,0.918,2.577,0,0.822,ABS,8.17,0
0.704,1.309,0.395,4.605,0,0.939,Nylon,56.24,1
1.154,2.117,0.582,3.271,0,0.847,PP,43.04,0
0.621,1.439,1.003,2.277,1,0.62,TPU,80.51,1
3.809,0.865,1.446,2.879,0,0.929,PC,46.25,1
3.822,1.625,0.149,2.477,1,0.805,PC,61.22,1
2.562,2.883,1.304,2.824,0,0.951,PP,0.0,0
3.067,1.629,0.804,2.075,1,0.849,PP,28.79,0
3.813,1.014,1.439,9.005,1,0.902,PC,46.32,1
1.085,1.892,1.497,13.777,0,0.866,PP,56.59,1
5.597,2.272,0.748,3.712,1,0.829,PP,54.24,1
2.886,1.454,1.298,7.537,1,0.891,PP,56.81,1
4.068,1.891,1.248,7.356,1,0.512,Nylon,51.54,1
2.609,1.337,0.809,3.423,0,0.857,ABS,0.0,0
4.726,1.04,0.71,4.932,1,0.681,PC,50.93,1
2.122,0.944,1.259,1.646,0,0.868,ABS,25.69,0
0.598,0.58,0.651,4.716,0,0.774,PC,67.75,1
3.452,2.205,0.827,3.69,0,0.449,PP,14.53,0
0.967,1.612,0.333,4.138,1,0.652,PC,90.26,1
4.331,1.148,1.049,4.282,0,0.423,Nylon,31.75,0
3.475,0.103,0.718,3.338,0,0.322,TPU,33.62,0
0.627,1.128,0.759,1.819,1,0.509,Nylon,83.64,1
3.044,0.963,0.254,5.268,1,0.732,ABS,67.77,1
3.334,0.9,0.799,1.998,1,0.459,PP,67.44,1
3.054,2.106,0.934,1.717,0,0.722,PP,0.0,0
1.38,1.403,0.35,2.833,0,0.711,PP,76.69,1
5.092,1.039,0.696,10.28,1,0.575,PP,100.0,1
1.79,1.503,1.156,8.067,0,0.526,PC,12.76,0
1.018,2.025,0.627,2.79,0,0.707,ABS,54.84,1
5.645,1.529,1.112,7.055,1,0.673,PP,60.14,1
0.653,0.945,0.232,4.774,0,0.677,ABS,92.83,1
0.882,2.265,0.547,8.985,1,0.618,PP,82.74,1
3.56,1.057,0.874,8.465,1,0.301,PP,67.71,1
2.356,0.998,1.339,2.251,1,0.613,ABS,31.65,0
1.294,1.18,0.303,3.118,1,0.55,PP,100.0,1
0.5,2.19,1.435,1.671,0,0.723,PC,48.57,1
1.399,0.444,0.489,8.013,1,0.512,Nylon,64.1,1
2.089,1.614,0.941,1.395,0,0.579,PC,13.65,0
1.13,1.56,0.288,11.179,0,0.418,ABS,87.13,1
5.68,1.943,0.86,1.876,1,0.649,PP,58.32,1
0.912,2.073,0.434,11.087,0,0.556,PP,86.08,1
1.267,2.445,1.343,5.427,0,0.647,PP,59.64,1
0.503,0.983,1.592,2.914,0,0.839,PC,62.53,1
0.798,2.322,0.972,13.736,0,0.485,ABS,67.95,1
6.0,0.0,0.408,1.833,0,0.597,TPU,52.34,1
3.843,0.545,0.394,12.067,0,0.752,ABS,59.95,1
4.856,1.995,1.804,3.896,1,0.252,PP,37.15,0
5.501,2.277,0.636,7.135,0,0.233,PP,27.09,0
3.166,1.015,1.583,5.194,1,0.836,TPU,30.91,0
0.792,2.002,0.475,5.433,0,0.937,PC,54.75,1
3.025,2.984,0.996,1.209,1,0.582,PP,44.37,0
1.48,2.429,0.937,10.499,1,0.746,PP,92.25,1
1.199,2.614,0.531,4.186,1,0.359,PP,88.65,1
3.454,2.496,0.469,5.381,1,0.705,PC,44.21,0
1.565,1.631,1.549,2.853,0,0.546,PP,4.78,0
1.049,1.24,0.417,4.313,0,0.54,ABS,70.29,1
1.106,2.308,0.521,3.61,0,0.41,PP,50.65,1
4.541,1.989,0.822,7.284,0,0.496,PP,13.31,0
4.325,0.498,0.712,5.939,0,0.746,ABS,49.15,1
4.524,1.009,0.678,4.232,1,0.671,PC,54.34,1
5.334,0.772,0.883,1.019,0,0.814,PP,47.65,1
0.677,0.868,0.372,1.188,1,0.87,PP,100.0,1
2.727,1.027,1.581,10.01,0,0.857,ABS,19.81,0
4.588,1.834,1.01,1.939,0,0.818,ABS,15.62,0
5.996,0.0,1.449,2.258,1,0.677,TPU,69.52,1
4.077,0.136,0.59,2.034,0,0.558,Nylon,57.9,1
3.236,2.392,1.286,4.251,0,0.568,PP,15.21,0
0.5,0.247,1.275,5.502,0,0.592,TPU,81.85,1
4.731,1.747,1.136,2.841,0,0.805,PP,4.0,0
4.17,1.09,1.296,3.501,1,0.575,Nylon,54.11,1
1.928,1.805,0.756,1.96,1,0.739,PC,29.61,0
1.391,1.997,1.454,9.106,0,0.317,PP,52.53,1
3.872,1.629,0.353,3.712,0,0.585,ABS,18.18,0
0.587,1.271,0.57,7.505,0,0.743,Nylon,43.03,0
1.924,1.62,1.71,8.209,1,0.891,Nylon,35.36,0
4.245,0.185,0.869,1.422,0,0.679,Nylon,49.26,1
2.697,1.179,1.521,5.896,1,0.813,ABS,23.22,0
0.5,0.006,0.383,7.341,1,0.71,Nylon,100.0,1
2.156,0.838,0.894,15.0,1,0.494,ABS,88.91,1
5.538,1.806,1.101,1.266,1,0.757,PP,52.05,1
2.439,0.707,0.358,4.281,0,0.625,PC,46.54,1
1.695,1.39,0.951,8.492,0,0.76,Nylon,0.0,0
1.125,1.623,0.514,2.071,1,0.596,PP,88.61,1
2.837,1.196,0.682,6.015,0,0.305,PC,10.93,0
0.869,1.564,0.793,4.737,1,0.759,PP,70.63,1
0.816,1.218,0.52,3.935,0,0.483,PC,55.41,1
6.0,1.239,0.237,3.021,1,0.436,TPU,56.34,1
5.36,1.764,1.006,7.864,0,0.609,PP,19.12,0
1.007,0.144,0.962,3.339,1,0.735,PC,57.74,1
4.967,1.678,0.747,4.305,0,0.834,ABS,13.94,0
1.183,0.575,0.681,9.917,1,0.79,TPU,30.58,0
2.641,0.595,0.977,6.442,1,0.597,Nylon,40.15,0
0.877,1.809,0.428,2.588,0,0.477,PC,65.89,1
0.831,0.687,1.17,2.657,0,0.75,PP,66.7,1
3.75,0.205,1.013,2.81,1,0.599,PC,86.53,1
4.011,1.063,0.426,4.258,0,0.413,Nylon,46.4,1
2.482,0.435,0.233,5.163,0,0.56,Nylon,47.37,1
1.306,1.341,0.282,1.953,0,0.882,ABS,50.89,1
0.735,1.848,0.547,4.004,1,0.512,ABS,82.61,1
2.916,1.532,1.098,2.618,0,0.586,PP,3.5,0
2.491,0.917,0.442,1.721,0,0.655,PP,50.85,1
5.466,0.907,0.999,3.198,0,0.408,PP,43.68,0
0.506,2.521,0.566,5.315,1,0.638,PC,83.99,1
2.731,2.373,0.962,4.767,0,0.839,PP,0.0,0
3.335,2.327,0.682,4.285,1,0.652,PP,33.13,0
5.985,0.897,0.842,5.779,0,0.807,TPU,7.31,0
0.821,1.088,0.391,3.43,0,0.715,Nylon,57.83,1
3.698,1.715,1.231,4.56,0,0.372,ABS,11.11,0
1.361,2.303,0.554,1.892,0,0.898,ABS,49.52,1
5.521,1.703,0.969,4.659,0,0.773,PP,30.49,0
0.5,0.71,0.791,4.069,0,0.88,TPU,32.76,0
3.74,2.074,1.127,2.0,0,0.862,ABS,0.45,0
2.838,0.836,0.752,6.396,1,0.729,PP,53.9,1
2.475,0.63,0.234,3.447,1,0.69,Nylon,50.24,1
0.559,0.56,1.142,5.595,0,0.83,PC,68.73,1
4.032,0.009,0.225,5.954,0,0.897,Nylon,64.43,1
1.937,1.197,1.171,4.32,0,0.69,PC,14.82,0
2.888,2.284,0.443,7.322,1,0.677,PP,58.3,1
2.934,2.67,1.177,3.599,0,0.837,PP,0.0,0
2.441,0.963,0.508,1.778,1,0.393,PP,75.06,1
0.5,1.191,1.235,4.723,0,0.535,TPU,49.1,1
0.5,0.066,0.364,3.439,0,0.808,TPU,78.58,1
2.612,0.312,0.433,15.0,0,0.795,Nylon,60.32,1
3.399,1.455,0.327,14.996,0,0.883,PP,52.78,1
2.76,0.469,0.902,5.673,1,0.578,ABS,69.66,1
2.111,1.204,1.022,3.28,0,0.673,ABS,9.29,0
0.5,1.273,0.508,3.059,1,0.79,TPU,67.72,1
3.079,1.814,1.27,2.889,0,0.727,TPU,3.32,0
1.662,1.047,0.547,1.102,1,0.779,PP,57.31,1
3.508,1.851,0.423,4.82,0,0.739,TPU,18.68,0
2.511,2.476,0.497,5.391,0,0.791,ABS,15.06,0
3.265,1.832,1.17,4.849,1,0.799,ABS,29.65,0
3.326,1.018,0.787,1.498,1,0.368,Nylon,36.21,0
0.919,0.0,0.961,10.171,0,0.557,TPU,92.52,1
5.451,2.076,1.675,3.46,0,0.508,PP,29.69,0
3.785,0.024,1.075,2.414,0,0.85,TPU,26.62,0
3.161,1.088,1.026,6.907,0,0.384,ABS,11.09,0
1.016,0.825,0.342,2.822,0,0.715,PP,78.91,1
0.504,1.742,1.358,5.427,0,0.634,PC,54.94,1
1.085,1.358,0.547,5.175,0,0.696,PP,76.88,1
0.767,1.584,0.469,5.113,1,0.477,PP,94.27,1
0.754,1.832,0.528,4.102,1,0.544,PP,79.02,1
0.502,1.35,1.33,1.211,0,0.6,Nylon,53.79,1
4.443,1.672,0.325,6.636,1,0.697,ABS,65.67,1
2.964,1.591,1.132,4.756,1,0.443,PP,39.85,0
2.203,1.161,1.163,7.559,1,0.578,Nylon,41.32,0
3.686,2.528,0.989,3.145,1,0.598,PC,60.81,1
3.259,2.646,0.529,13.806,0,0.71,PP,20.51,0
5.768,1.719,1.106,7.026,1,0.857,PP,47.58,1
3.458,1.458,0.457,2.497,1,0.785,PP,67.85,1
4.696,1.594,0.429,2.193,0,0.68,ABS,44.58,0
1.238,1.492,0.303,4.924,1,0.676,Nylon,55.51,1
2.916,2.107,1.39,7.771,1,0.73,ABS,27.34,0
2.296,0.587,0.503,3.832,0,0.632,Nylon,21.92,0
0.887,2.243,1.491,6.075,1,0.599,PP,82.79,1
1.498,1.549,0.596,2.682,0,0.802,PP,2.85,0
3.362,1.796,0.763,2.235,1,0.727,PP,21.24,0
0.91,1.439,0.775,7.981,0,0.505,Nylon,56.17,1
1.107,0.993,0.234,1.916,1,0.937,PC,48.03,1
2.544,2.097,0.818,3.114,0,0.766,ABS,0.56,0
0.912,0.528,0.697,5.675,0,0.635,Nylon,45.86,1
